X,Y,time,button,correct
176,50,0,2,1
57,68,986,1,0
177,61,6127,2,0
185,64,10776,2,1
72,51,11650,1,1
189,63,12698,2,1
62,50,13731,1,1
188,55,14815,2,1
84,31,15863,0,0
202,66,17022,2,1
58,60,17866,1,1
185,62,18713,2,1
65,58,19465,1,1
176,50,0,2,1
57,68,986,1,0
177,61,6127,2,0
185,64,10776,2,1
72,51,11650,1,1
189,63,12698,2,1
62,50,13731,1,1
188,55,14815,2,1
84,31,15863,0,0
202,66,17022,2,1
58,60,17866,1,1
185,62,18713,2,1
65,58,19465,1,1
176,50,0,2,1
57,68,986,1,0
177,61,6127,2,0
185,64,10776,2,1
72,51,11650,1,1
189,63,12698,2,1
62,50,13731,1,1
188,55,14815,2,1
84,31,15863,0,0
202,66,17022,2,1
58,60,17866,1,1
185,62,18713,2,1
65,58,19465,1,1
