X,Y,time
110,132,0
113,128,42
111,132,435
114,129,1758
115,130,2016
113,125,2234
115,120,2282
117,113,2340
118,110,2346
120,107,2362
122,104,2386
121,114,2858
117,117,3281
111,120,3468
108,118,3652
104,118,3919
101,120,4046
98,125,4177
95,129,4519
94,133,4722
94,137,4810
98,142,4990
102,145,5211
105,149,5395
107,153,5523
111,154,5708
115,155,5821
119,155,5942
124,152,6020
128,149,6187
132,147,6322
136,144,6454
139,139,6540
142,135,6624
143,131,6677
143,128,6717
143,123,6805
141,119,6917
140,115,7685
138,111,7905
134,108,8053
130,104,8432
129,101,8450
125,100,8582
121,96,8782
117,94,8958
113,93,9078
109,91,9182
105,91,9270
101,90,9407
97,88,9472
93,85,9546
90,84,9588
86,86,9952
82,88,10025
78,91,10091
74,95,10146
72,98,10210
69,102,10219
65,104,10283
63,107,10343
62,111,10411
61,114,10473
61,119,10507
60,123,10611
59,128,10635
58,133,10742
57,137,10821
59,143,10968
61,148,11020
62,152,11101
61,156,11151
61,161,11221
62,165,11309
63,168,11437
66,172,11550
70,174,11677
74,177,11809
77,181,11945
80,182,12006
84,184,12119
88,184,12224
92,184,12254
96,182,12310
101,180,12356
104,179,12366
108,175,12414
108,178,12534
106,184,12621
106,188,12798
111,190,12886
115,190,12934
119,191,13011
123,191,13055
127,191,13142
131,191,13190
136,190,13275
140,189,13326
144,189,13431
148,187,13449
152,184,13590
155,180,13726
159,178,13874
162,175,14168
165,171,14297
168,167,14441
172,163,14496
174,160,14551
176,156,14662
177,153,14697
179,149,14788
180,146,14817
182,141,14918
183,137,15009
183,134,15130
185,129,15219
187,125,15310
187,122,15371
186,118,15507
182,114,15853
181,110,15879
180,106,16005
180,102,16077
179,99,16126
178,94,16174
177,90,16255
175,87,16327
171,86,16433
166,85,16639
162,86,16809
159,91,17174
155,91,17311
159,80,18047
160,103,18439
184,94,18810
176,93,19077
178,89,19125
175,85,19317
171,87,19365
168,88,19389
169,85,19493
171,82,19509
172,79,19556
175,75,19564
177,72,19578
181,67,19618
195,53,19722
200,49,19740
170,98,20122
166,101,20148
166,98,20248
170,95,20320
172,92,20333
173,88,20506
169,89,20661
168,85,20813
169,81,20907
170,76,21061
168,72,21179
165,70,21309
163,65,21443
161,61,21653
157,59,21828
153,58,21960
149,59,22021
144,61,22097
140,64,22147
137,63,22516
138,60,22525
138,57,22565
134,54,22733
130,54,22845
126,52,22973
126,49,23035
122,49,23382
118,49,23530
114,50,23654
113,46,23863
109,46,24031
105,46,24167
101,46,24271
97,48,24375
93,50,24521
90,50,24575
86,53,24660
77,59,24806
73,61,24824
69,66,24940
70,63,25072
74,59,25104
76,55,25206
73,55,25272
69,56,25339
65,57,25375
61,61,25424
57,62,25497
54,65,25594
49,69,25726
46,73,25769
42,77,25817
40,80,25859
37,82,25868
36,85,25884
34,88,25917
29,95,26028
26,99,26042
26,103,26185
26,107,26241
26,110,26257
25,115,26299
25,119,26427
24,122,26441
24,127,26497
24,131,26641
24,134,26686
24,138,26761
23,143,26834
23,147,26914
23,151,26978
23,154,27026
23,159,27090
23,163,27138
24,168,27241
26,172,27274
28,177,27372
30,182,27466
31,186,27541
32,190,27626
32,193,27676
33,197,27738
37,200,27858
41,202,28018
45,202,28147
49,205,28235
53,208,28331
57,214,28486
58,218,28496
60,223,28571
64,224,28667
68,223,28772
72,221,28884
77,220,28957
81,221,29147
85,224,29301
89,225,29405
93,225,29469
97,224,29554
101,224,29602
105,223,29706
109,224,29723
113,223,29781
117,224,29861
122,223,29933
126,223,29997
130,223,30061
134,220,30133
138,219,30181
143,217,30232
147,215,30262
150,213,30286
155,211,30365
159,213,30510
163,212,30582
168,210,30654
173,207,30711
178,203,30759
182,199,30790
186,195,30846
196,187,30948
201,182,30966
203,179,30992
204,176,31032
207,172,31135
208,169,31224
